Enter start page: Enter end page: 0
1
Contour #1493: Unicode expected: U+00C2, Position: (4376, 1777) y//120: 14
Contour #2351: Unicode expected: U+00C3, Position: (289, 2356) y//120: 19
Contour #2352: Unicode expected: U+00C4, Position: (742, 2359) y//120: 19
Contour #2353: Unicode expected: U+00C5, Position: (1195, 2361) y//120: 19
Contour #2354: Unicode expected: U+00C6, Position: (1649, 2363) y//120: 19
Contour #2355: Unicode expected: U+00C7, Position: (2104, 2364) y//120: 19
Contour #2356: Unicode expected: U+00C8, Position: (2560, 2366) y//120: 19
Contour #2357: Unicode expected: U+00C9, Position: (3012, 2367) y//120: 19
Contour #2358: Unicode expected: U+00CA, Position: (3467, 2367) y//120: 19
Contour #2359: Unicode expected: U+00CB, Position: (3920, 2368) y//120: 19
Contour #2360: Unicode expected: U+00CC, Position: (4373, 2368) y//120: 19
Contour #2601: Unicode expected: U+00CD, Position: (285, 2940) y//120: 24
Contour #2602: Unicode expected: U+00CE, Position: (739, 2943) y//120: 24
Contour #2603: Unicode expected: U+00CF, Position: (1193, 2944) y//120: 24
Contour #2604: Unicode expected: U+00D0, Position: (1647, 2945) y//120: 24
Contour #2605: Unicode expected: U+00D1, Position: (2101, 2947) y//120: 24
Contour #2606: Unicode expected: U+00D2, Position: (2557, 2947) y//120: 24
Contour #2607: Unicode expected: U+00D3, Position: (3010, 2948) y//120: 24
Contour #2608: Unicode expected: U+00D4, Position: (3465, 2948) y//120: 24
Contour #2609: Unicode expected: U+00D5, Position: (3917, 2948) y//120: 24
Contour #2610: Unicode expected: U+00D6, Position: (4371, 2948) y//120: 24
Contour #3508: Unicode expected: U+00D7, Position: (280, 3528) y//120: 29
Contour #3509: Unicode expected: U+00D8, Position: (735, 3531) y//120: 29
Contour #3510: Unicode expected: U+00D9, Position: (1189, 3532) y//120: 29
Contour #3511: Unicode expected: U+00DA, Position: (1643, 3533) y//120: 29
Contour #3512: Unicode expected: U+00DB, Position: (2097, 3534) y//120: 29
Contour #3513: Unicode expected: U+00DC, Position: (2554, 3535) y//120: 29
Contour #3514: Unicode expected: U+00DD, Position: (3007, 3536) y//120: 29
Contour #3515: Unicode expected: U+00DE, Position: (3461, 3535) y//120: 29
Contour #3518: Unicode expected: U+00DF, Position: (3914, 3535) y//120: 29
Contour #3519: Unicode expected: U+00E0, Position: (4368, 3535) y//120: 29
Contour #3817: Unicode expected: U+00E1, Position: (277, 4116) y//120: 34
Contour #3818: Unicode expected: U+00E2, Position: (731, 4118) y//120: 34
Contour #3819: Unicode expected: U+00E3, Position: (1187, 4120) y//120: 34
Contour #3820: Unicode expected: U+00E4, Position: (1641, 4120) y//120: 34
Contour #3821: Unicode expected: U+00E5, Position: (2096, 4121) y//120: 34
Contour #3822: Unicode expected: U+00E6, Position: (2553, 4122) y//120: 34
Contour #3823: Unicode expected: U+00E7, Position: (3006, 4122) y//120: 34
Contour #3824: Unicode expected: U+00E8, Position: (3459, 4122) y//120: 34
Contour #3825: Unicode expected: U+00E9, Position: (3913, 4122) y//120: 34
Contour #3826: Unicode expected: U+00EA, Position: (4368, 4121) y//120: 34
Contour #4675: Unicode expected: U+00EB, Position: (275, 4698) y//120: 39
Contour #4676: Unicode expected: U+00EC, Position: (727, 4701) y//120: 39
Contour #4677: Unicode expected: U+00ED, Position: (1183, 4702) y//120: 39
Contour #4678: Unicode expected: U+00EE, Position: (1637, 4703) y//120: 39
Contour #4679: Unicode expected: U+00EF, Position: (2092, 4703) y//120: 39
Contour #4680: Unicode expected: U+00F0, Position: (2549, 4704) y//120: 39
Contour #4681: Unicode expected: U+00F1, Position: (3003, 4704) y//120: 39
Contour #4682: Unicode expected: U+00F2, Position: (3458, 4704) y//120: 39
Contour #4683: Unicode expected: U+00F3, Position: (3911, 4704) y//120: 39
Contour #4684: Unicode expected: U+00F4, Position: (4365, 4702) y//120: 39
Contour #4898: Unicode expected: U+00F5, Position: (270, 5286) y//120: 44
Contour #4899: Unicode expected: U+00F6, Position: (723, 5288) y//120: 44
Contour #4900: Unicode expected: U+00F7, Position: (1178, 5290) y//120: 44
Contour #4901: Unicode expected: U+00F8, Position: (1633, 5290) y//120: 44
Contour #4902: Unicode expected: U+00F9, Position: (2089, 5291) y//120: 44
Contour #4903: Unicode expected: U+00FA, Position: (2546, 5292) y//120: 44
Contour #4904: Unicode expected: U+00FB, Position: (2999, 5293) y//120: 44
Contour #4905: Unicode expected: U+00FC, Position: (3454, 5293) y//120: 44
Contour #4906: Unicode expected: U+00FD, Position: (3907, 5292) y//120: 44
Contour #4907: Unicode expected: U+00FE, Position: (4362, 5291) y//120: 44
Contour #5752: Unicode expected: U+00FF, Position: (265, 5872) y//120: 48
Contour #5753: Unicode expected: U+0391, Position: (718, 5875) y//120: 48
Contour #5754: Unicode expected: U+0392, Position: (1173, 5875) y//120: 48
Contour #5755: Unicode expected: U+0393, Position: (1629, 5877) y//120: 48
Contour #5756: Unicode expected: U+0394, Position: (2085, 5878) y//120: 48
Contour #5757: Unicode expected: U+0395, Position: (2542, 5879) y//120: 48
Contour #5758: Unicode expected: U+0396, Position: (2996, 5880) y//120: 49
Contour #5759: Unicode expected: U+0397, Position: (3450, 5880) y//120: 49
Contour #5760: Unicode expected: U+0398, Position: (3904, 5880) y//120: 49
Contour #5761: Unicode expected: U+0399, Position: (4359, 5878) y//120: 48
3
Contour #316: Unicode expected: U+039A, Position: (305, 575) y//120: 4
Contour #335: Unicode expected: U+039B, Position: (757, 578) y//120: 4
Contour #336: Unicode expected: U+039C, Position: (1211, 580) y//120: 4
Contour #337: Unicode expected: U+039D, Position: (1664, 583) y//120: 4
Contour #338: Unicode expected: U+039E, Position: (2116, 585) y//120: 4
Contour #339: Unicode expected: U+039F, Position: (2571, 587) y//120: 4
Contour #340: Unicode expected: U+03A0, Position: (3024, 589) y//120: 4
Contour #341: Unicode expected: U+03A1, Position: (3477, 591) y//120: 4
Contour #342: Unicode expected: U+03A3, Position: (3930, 593) y//120: 4
Contour #343: Unicode expected: U+03A4, Position: (4384, 595) y//120: 4
Contour #1206: Unicode expected: U+03A5, Position: (301, 1179) y//120: 9
Contour #1219: Unicode expected: U+03A6, Position: (754, 1183) y//120: 9
Contour #1220: Unicode expected: U+03A7, Position: (1208, 1185) y//120: 9
